submission_month,n_known_open_weights_models,p90_recomputed_C1_Average,baseline_p90_C1_Average,absolute_difference,baseline_p90_match,n_lt_10_descriptive_only,n_lt_20_sensitivity_flag,quantile_definition,date_basis,cutoff_note
2024-06,38,28.332921916110397,28.332921916110397,0.0,true,false,false,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-07,9,28.69298424896202,28.69298424896202,0.0,true,true,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-08,4,30.810183807331235,30.810183807331235,0.0,true,true,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-09,19,40.96510255071386,40.96510255071386,0.0,true,false,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-10,11,38.74423639967271,38.74423639967271,0.0,true,false,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-11,15,39.83787163089315,39.83787163089315,0.0,true,false,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2024-12,17,40.31870789775397,40.31870789775397,0.0,true,false,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2025-01,37,39.739830058836766,39.73983005883677,7.105427357601002e-15,true,false,false,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2025-02,33,41.32181900505527,41.32181900505526,7.105427357601002e-15,true,false,false,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
2025-03,18,41.2745126186259,41.2745126186259,0.0,true,false,true,linear interpolation at h=(n-1)*0.90,C1 Submission Date month,"C1 source ends 2025-03; this is a historical cohort summary, not a 2026 backtest."
