task_key,task_version,metric_key,metric_name,higher_is_better,task_role,models_with_key,models_with_numeric_score,models_missing_or_invalid_score,models_with_unknown_direction,distinct_n_effective_values_json
leaderboard,,"acc,none",acc,true,group_summary,13,13,0,0,[]
leaderboard,,"acc_norm,none",acc_norm,true,group_summary,13,13,0,0,[]
leaderboard,,"exact_match,none",exact_match,true,group_summary,13,13,0,0,[]
leaderboard,,"inst_level_loose_acc,none",inst_level_loose_acc,true,group_summary,13,13,0,0,[]
leaderboard,,"inst_level_strict_acc,none",inst_level_strict_acc,true,group_summary,13,13,0,0,[]
leaderboard,,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,group_summary,13,13,0,0,[]
leaderboard,,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,group_summary,13,13,0,0,[]
leaderboard,1.0,"acc,none",acc,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"acc_norm,none",acc_norm,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"exact_match,none",exact_match,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"inst_level_loose_acc,none",inst_level_loose_acc,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"inst_level_strict_acc,none",inst_level_strict_acc,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,group_summary,1,1,0,0,[]
leaderboard,1.0,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,group_summary,1,1,0,0,[]
leaderboard_arc_challenge,1.0,"acc,none",acc,true,task_subtask,10,10,0,0,"[""1172""]"
leaderboard_arc_challenge,1.0,"acc_norm,none",acc_norm,true,task_subtask,10,10,0,0,"[""1172""]"
leaderboard_bbh,,"acc_norm,none",acc_norm,true,group_summary,14,14,0,0,[]
leaderboard_bbh_boolean_expressions,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_causal_judgement,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""187""]"
leaderboard_bbh_date_understanding,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_disambiguation_qa,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_formal_fallacies,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_geometric_shapes,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_hyperbaton,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_logical_deduction_five_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_logical_deduction_seven_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_logical_deduction_three_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_movie_recommendation,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
