task_key,family,metric,valid_model_n_all_candidates,valid_model_n_core6_complete,core6_raw_score_mean,core6_raw_score_median,core6_raw_score_p25,core6_raw_score_p75
leaderboard_bbh_tracking_shuffled_objects_seven_objects,BBH,acc_norm,1819,789,0.1798022813688213,0.156,0.132,0.228
leaderboard_bbh_tracking_shuffled_objects_five_objects,BBH,acc_norm,1819,789,0.20832446134347274,0.2,0.172,0.24
leaderboard_bbh_temporal_sequences,BBH,acc_norm,1819,789,0.43510266159695826,0.308,0.196,0.728
leaderboard_bbh_tracking_shuffled_objects_three_objects,BBH,acc_norm,1819,789,0.3293789607097592,0.332,0.312,0.348
leaderboard_bbh_geometric_shapes,BBH,acc_norm,1819,789,0.34739163498098863,0.372,0.212,0.488
leaderboard_bbh_object_counting,BBH,acc_norm,1819,789,0.35160456273764257,0.376,0.284,0.456
leaderboard_bbh_logical_deduction_seven_objects,BBH,acc_norm,1819,789,0.3868288973384031,0.412,0.188,0.536
leaderboard_bbh_logical_deduction_five_objects,BBH,acc_norm,1819,789,0.4189961977186311,0.428,0.248,0.556
leaderboard_bbh_penguins_in_a_table,BBH,acc_norm,1819,789,0.4697119641648003,0.4863013698630137,0.3013698630136986,0.6027397260273972
leaderboard_bbh_salient_translation_error_detection,BBH,acc_norm,1819,789,0.423574144486692,0.488,0.248,0.58
leaderboard_bbh_date_understanding,BBH,acc_norm,1819,789,0.48264131812420785,0.492,0.368,0.608
leaderboard_bbh_web_of_lies,BBH,acc_norm,1819,789,0.5188643852978454,0.512,0.488,0.536
leaderboard_bbh_formal_fallacies,BBH,acc_norm,1819,789,0.5706920152091255,0.552,0.492,0.632
leaderboard_bbh_disambiguation_qa,BBH,acc_norm,1819,789,0.5308491761723702,0.576,0.38,0.644
leaderboard_bbh_reasoning_about_colored_objects,BBH,acc_norm,1819,789,0.5065196451204056,0.58,0.248,0.712
leaderboard_bbh_causal_judgement,BBH,acc_norm,1819,789,0.5782178754668131,0.5935828877005348,0.5187165775401069,0.6310160427807486
leaderboard_bbh_ruin_names,BBH,acc_norm,1819,789,0.5336679340937895,0.6,0.284,0.78
leaderboard_bbh_movie_recommendation,BBH,acc_norm,1819,789,0.588446134347275,0.62,0.472,0.728
leaderboard_bbh_snarks,BBH,acc_norm,1819,789,0.6171302032155622,0.6235955056179775,0.5224719101123596,0.7191011235955056
leaderboard_bbh_navigate,BBH,acc_norm,1819,789,0.6041622306717364,0.624,0.568,0.676
leaderboard_bbh_logical_deduction_three_objects,BBH,acc_norm,1819,789,0.6189708491761724,0.624,0.384,0.816
leaderboard_bbh_hyperbaton,BBH,acc_norm,1819,789,0.6358732572877059,0.636,0.524,0.72
leaderboard_bbh_sports_understanding,BBH,acc_norm,1819,789,0.6667883396704689,0.696,0.552,0.768
leaderboard_bbh_boolean_expressions,BBH,acc_norm,1819,789,0.7760456273764259,0.816,0.74,0.856
