omitted_bbh_task,model_n,bbh_task_n_in_reaggregation,task_metric,spearman_rank_r_vs_baseline,top_n,top_n_retained_n,top_n_retained_pct,mean_abs_core6_index_change_points,max_abs_core6_index_change_points,median_abs_rank_shift,p95_abs_rank_shift,max_abs_rank_shift,max_shift_model
leaderboard_bbh_boolean_expressions,789,23,acc_norm,0.9999810166880414,100,100,100.0,0.07131839968500306,0.39534217452388987,1.0,3.0,6,Daemontatox/Llama_cot
leaderboard_bbh_causal_judgement,789,23,acc_norm,0.9999742735810908,100,100,100.0,0.09421034760890275,0.4020314952474138,1.0,3.0,8,Nexesenex/Llama_3.1_8b_DeepDive_3_R1_Prev_v1.0
leaderboard_bbh_date_understanding,789,23,acc_norm,0.9999841927891413,100,100,100.0,0.06961839956012267,0.27395507166702515,1.0,3.0,6,Ateron/Lotus-Magpic
leaderboard_bbh_disambiguation_qa,789,23,acc_norm,0.9999753974322493,100,100,100.0,0.08730721989747989,0.4058907187417873,1.0,3.0,8,Ateron/Lotus-Magpic
leaderboard_bbh_formal_fallacies,789,23,acc_norm,0.9999712196377256,100,100,100.0,0.08038448497237004,0.3749588349494033,1.0,4.0,9,DoppelReflEx/MN-12B-LilithFrame-Experiment-4
leaderboard_bbh_geometric_shapes,789,23,acc_norm,0.9999740292656216,100,99,99.0,0.0904914776833371,0.3635056555467955,1.0,4.0,9,marcuscedricridia/Yell-Qwen2.5-7B-Preview-v1.1
leaderboard_bbh_hyperbaton,789,23,acc_norm,0.9999651850456358,100,100,100.0,0.10057612826883688,0.4480682968026741,1.0,4.0,12,JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep
leaderboard_bbh_logical_deduction_five_objects,789,23,acc_norm,0.9999895188663704,100,100,100.0,0.060963076984380145,0.2117842260837648,0.0,2.0,7,marcuscedricridia/Yell-Qwen2.5-7B-Preview-v1.1
leaderboard_bbh_logical_deduction_seven_objects,789,23,acc_norm,0.9999869291223965,100,100,100.0,0.06399958642075,0.2386245030316161,0.0,2.0,8,Daemontatox/Llama_cot
leaderboard_bbh_logical_deduction_three_objects,789,23,acc_norm,0.999988956940791,100,100,100.0,0.05875684468895786,0.2543518761967789,0.0,2.0,8,marcuscedricridia/Yell-Qwen2.5-7B-Preview-v1.1
leaderboard_bbh_movie_recommendation,789,23,acc_norm,0.999972661098994,100,100,100.0,0.09923955584399846,0.3888188419076073,1.0,4.0,7,Daemontatox/Llama_cot
leaderboard_bbh_navigate,789,23,acc_norm,0.9999682878520948,100,100,100.0,0.1020921950575978,0.47865990497513167,1.0,4.0,8,Corianas/Quokka_2.7b
leaderboard_bbh_object_counting,789,23,acc_norm,0.999969509429441,100,100,100.0,0.10922875800836462,0.4532305269392083,1.0,4.0,7,Daemontatox/AetherDrake-SFT
leaderboard_bbh_penguins_in_a_table,789,23,acc_norm,0.9999869535539434,100,100,100.0,0.057557249268749194,0.2894583608873589,0.0,3.0,6,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam
leaderboard_bbh_reasoning_about_colored_objects,789,23,acc_norm,0.9999909603276387,100,100,100.0,0.05199191417357387,0.21742782173143382,0.0,2.0,5,KingNish/qwen-1b-continued
leaderboard_bbh_ruin_names,789,23,acc_norm,0.9999847547147206,100,100,100.0,0.06875732310497203,0.2640870786889842,1.0,2.599999999999909,7,Nexesenex/Llama_3.1_8b_DeepDive_3_R1_Prev_v1.0
leaderboard_bbh_salient_translation_error_detection,789,23,acc_norm,0.9999867336700211,100,100,100.0,0.05977576762940048,0.3127132947178666,0.0,3.0,6,Sakalti/Phi3.5-Comets-3.8B
leaderboard_bbh_snarks,789,23,acc_norm,0.9999785002387084,100,100,100.0,0.07619611484525064,0.3353872701728591,1.0,3.0,8,KingNish/qwen-1b-continued
leaderboard_bbh_sports_understanding,789,23,acc_norm,0.9999692895455188,100,100,100.0,0.10158280721961588,0.5204225127678086,1.0,4.0,9,Ateron/Lotus-Magpic
leaderboard_bbh_temporal_sequences,789,23,acc_norm,0.9999765945780484,100,100,100.0,0.09101788508770475,0.3808846103794252,1.0,3.0,10,someon98/qwen-CoMa-0.5b
leaderboard_bbh_tracking_shuffled_objects_five_objects,789,23,acc_norm,0.9999556567423361,100,100,100.0,0.12713079627567397,0.4511722744088811,1.0,4.0,11,sumink/bbhqwen5
leaderboard_bbh_tracking_shuffled_objects_seven_objects,789,23,acc_norm,0.9999602254416106,100,100,100.0,0.10768065067620779,0.44530459481639184,1.0,4.0,11,T145/Meta-Llama-3.1-8B-Instruct-TIES
leaderboard_bbh_tracking_shuffled_objects_three_objects,789,23,acc_norm,0.9999246775408386,100,100,100.0,0.21228683975564844,0.5718622272151492,1.0,6.0,13,someon98/qwen-CoMa-0.5b
leaderboard_bbh_web_of_lies,789,23,acc_norm,0.999940924519542,100,100,100.0,0.15616022283919828,0.53764377889852,1.0,5.0,12,DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B
