document_id,split,role,table_type,file,exists,size_bytes,sha256,row_count,schema_exact,header_order_exact,duplicate_header_names,missing_columns,unexpected_columns,malformed_row_count,blank_index_count,duplicate_index_count,read_error
A4,train_1m,training,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\train_mixture_1m.csv,True,46412,04a32ef4ab594376bf90e11404c033668f887c351d6a03ad3744824c7296a2d8,512,True,True,[],[],[],0,0,0,
A5,train_1m,training,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\train_pile_loss_1m.csv,True,121898,49a959aa07ce5c20831d5abe3a7896ff0cd90a398bd407c8913fd5588be0465a,512,True,True,[],[],[],0,0,0,
A6,test_1m,validation_same_scale,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_mixture_1m.csv,True,23537,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,256,True,True,[],[],[],0,0,0,
A7,test_1m,validation_same_scale,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_pile_loss_1m.csv,True,61175,e027b1674f60140a65a87b5e4a59ab5f09dc33e8fd02c080682678074b160f53,256,True,True,[],[],[],0,0,0,
A8,test_60m,validation_cross_scale,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_mixture_60m.csv,True,23537,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,256,True,True,[],[],[],0,0,0,
A9,test_60m,validation_cross_scale,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_pile_loss_60m.csv,True,61827,8fe69d59ab7dd4fae4736459f4265ec93c7ed1ad1eca407346052560edc72b5b,256,True,True,[],[],[],0,0,0,
A10,test_1b,validation_cross_scale,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_mixture_1B.csv,True,6393,dd38052949c0a5f84165bdcb3ae3a331c7f07efd9bb83848bd579dfc4ce75a2c,64,True,True,[],[],[],0,0,0,
A11,test_1b,validation_cross_scale,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\test_pile_loss_1B.csv,True,10639,b2451e2b7fa15400688edc39e4d32f21ccbe0fb356e07d62a0e9ccddf247114f,64,True,True,[],[],[],0,0,0,
A12,estimate_10b,extrapolation_estimate_only,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\est_mixture_10b.csv,True,6113,880c7ca1ebef470422e2b93d9bfcd0976db7db4e34ea57047518d95fe43327d1,63,True,True,[],[],[],0,0,0,
A13,estimate_10b,extrapolation_estimate_only,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\est_pile_loss_10b.csv,True,6467,226457581f3f59e15e44d8f72dee31fa7492c821699725fef47627d82cf34c0d,63,True,True,[],[],[],0,0,0,
A14,estimate_70b,extrapolation_estimate_only,mixture_17,中文题目\F题\real_attachments\A_data_value\regmix_tables\est_mixture_70b.csv,True,6113,880c7ca1ebef470422e2b93d9bfcd0976db7db4e34ea57047518d95fe43327d1,63,True,True,[],[],[],0,0,0,
A15,estimate_70b,extrapolation_estimate_only,loss_13,中文题目\F题\real_attachments\A_data_value\regmix_tables\est_pile_loss_70b.csv,True,6467,d0883b2d1a44da9386a6d629a3623c724ee291cba1ac87b6d1079e5377307682,63,True,True,[],[],[],0,0,0,
