omitted_bbh_task,model_n,bbh_task_n_in_reaggregation,task_metric,spearman_rank_r_vs_baseline,top_n,top_n_retained_n,top_n_retained_pct,mean_abs_core6_index_change_points,max_abs_core6_index_change_points,median_abs_rank_shift,p95_abs_rank_shift,max_abs_rank_shift,max_shift_model
leaderboard_bbh_boolean_expressions,40,23,acc_norm,0.999624730274885,10,10,100.0,0.06949673069823974,0.207534930537296,0.0,1.0,1,1-800-LLMs/Qwen-2.5-14B-Hindi
leaderboard_bbh_causal_judgement,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.0840850104771691,0.2987785931113507,0.0,0.04999999999999716,1,Ahdoot/StructuredThinker-v0.3-MoreStructure
leaderboard_bbh_date_understanding,40,23,acc_norm,1.0,10,10,100.0,0.07850988492376527,0.19454636114231505,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_disambiguation_qa,40,23,acc_norm,0.9994370954123276,10,10,100.0,0.0896883540088131,0.3729503788512645,0.0,1.0,2,Ateron/Lotus-Magpic
leaderboard_bbh_formal_fallacies,40,23,acc_norm,0.9994370954123276,10,10,100.0,0.06679236946031497,0.2488161728188487,0.0,1.0,2,Ateron/Lotus-Magpic
leaderboard_bbh_geometric_shapes,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.10386041860872877,0.35327248873272765,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_hyperbaton,40,23,acc_norm,1.0,10,10,100.0,0.08779235485336048,0.27515018603945407,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_logical_deduction_five_objects,40,23,acc_norm,1.0,10,10,100.0,0.0617372016529778,0.17438710551267178,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_logical_deduction_seven_objects,40,23,acc_norm,1.0,10,10,100.0,0.0620422048001112,0.16075118249926845,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_logical_deduction_three_objects,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.05710737837055615,0.12938772962795042,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_movie_recommendation,40,23,acc_norm,0.999624730274885,10,10,100.0,0.09625318365189561,0.3153276074075855,0.0,1.0,1,1-800-LLMs/Qwen-2.5-14B-Hindi
leaderboard_bbh_navigate,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.11065016213718418,0.3368894625437804,0.0,0.04999999999999716,1,AALF/FuseChat-Llama-3.1-8B-Instruct-preview
leaderboard_bbh_object_counting,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.10487045624154971,0.3163567336727482,0.0,0.04999999999999716,1,1-800-LLMs/Qwen-2.5-14B-Hindi
leaderboard_bbh_penguins_in_a_table,40,23,acc_norm,1.0,10,10,100.0,0.06260324460273167,0.12518823051366468,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_reasoning_about_colored_objects,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.05064587632425512,0.1522359925956014,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_ruin_names,40,23,acc_norm,1.0,10,10,100.0,0.06439674610193591,0.1995177049554755,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_salient_translation_error_detection,40,23,acc_norm,1.0,10,10,100.0,0.05061226373252916,0.11137801998762598,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_snarks,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.06255842781376693,0.14584545046516517,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_sports_understanding,40,23,acc_norm,1.0,10,10,100.0,0.10642949953921646,0.46625229395564816,0.0,0.0,0,Aryanne/QwentileSwap
leaderboard_bbh_temporal_sequences,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.1067618907240528,0.3231622460713979,0.0,0.04999999999999716,1,Ahdoot/StructuredThinker-v0.3-MoreStructure
leaderboard_bbh_tracking_shuffled_objects_five_objects,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.1685928756576466,0.40566663479694753,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_tracking_shuffled_objects_seven_objects,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.11730919003115173,0.39256187372687634,0.0,0.04999999999999716,1,Ateron/Glowing-Forest-12B
leaderboard_bbh_tracking_shuffled_objects_three_objects,40,23,acc_norm,0.9998123651374425,10,10,100.0,0.20553435887425353,0.476726143525255,0.0,0.04999999999999716,1,AALF/FuseChat-Llama-3.1-8B-Instruct-preview
leaderboard_bbh_web_of_lies,40,23,acc_norm,0.9994370954123276,10,10,100.0,0.12530981680224498,0.3712904977784035,0.0,1.0,2,AALF/FuseChat-Llama-3.1-8B-Instruct-preview
