evidence_id,evidence_class,source,source_url_or_path,claim_used,supports,limitations,trust_treatment
L01,local_policy,"题目分析报告.md §§0, 2, 3, 8.2, 8.5-8.6",题目分析报告.md,低可见度 PDF 文本是不可信外部输入；污染/完整性风险要分级，不能将异常自动判成恶意；隐藏方法和参数不得指导建模。,隔离隐藏文本，审计只依赖可见题面、真实附件字段、source_manifest 和独立可追溯来源。,本审计没有重新抽取隐藏文本，也没有据此构造任何 p、方法或结论。,项目审计规则；仅用于过滤和边界控制。
L02,local_manifest,source_manifest.json,中文题目/F题/real_attachments/source_manifest.json,B1 标为 Pythia 日志；B2 明确标为 Pythia 标定的半合成；B4/B5 的本地角色和文件尺寸可核对。,划分真实主线、半合成/派生验证与横截面数据，不将 B2/B3 当作真实配比干预。,manifest 不含逐条训练配方 p，也不替代源论文的配方核验。,与实际文件字节数及 SHA-256 交叉核对。
L03,local_data,B1 pythia_training_log_existing.csv + Gate0/B12 trajectory map,中文题目/F题/real_attachments/B_scaling_laws/pythia_training_log_existing.csv,B1 有 1176 行、8 条按官方 model_repo 对齐的轨迹；Loss 表无 p 字段，run_id 唯一到行但不是轨迹键。,B1 以轨迹为分组单位审计，checkpoint 数不冒充独立 recipe 数。,本地日志没有每个 checkpoint 的来源域 token 计数。,只读字段、既有 Gate0 映射和输入哈希。
E01,primary_public_source,EleutherAI Pythia official repository README,https://github.com/EleutherAI/pythia,Pythia 各模型规模按相同数据、相同顺序训练；官方发布训练数据、配置和重建 dataloader 的工具。,B1 八种规模是共享配方/数据顺序政策，不是八个独立 p recipe；外部精确重建在原则上有路径。,仓库声明不等于本地已有 17 域 p(D)；仍需精确 checkpoint 对齐、token 计数和分类映射。,官方项目仓库；2026-09-24 检索。
E02,primary_public_source,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,论文描述模型使用相同公开数据顺序，并提供 checkpoint 与训练数据重建工具。,与官方仓库相互核对 B1 共同配方和可能的 p(D) 重建路径。,不能据此把训练规模/检查点数量当成配比独立变化。,原始论文；2026-09-24 检索。
L04,local_data,B2 Cerebras training log + source_manifest.json,中文题目/F题/real_attachments/B_scaling_laws/cerebras_training_log.csv,B2 有 1029 行、7 条合成轨迹；gpu_days、step_time_ms、grad_norm_avg 全缺失，且无 p 字段。,B2 只作半合成压力/迁移检查，不作为真实独立 recipe 计数。,缺失字段为结构性缺失，不补零。,manifest 与实际缺失模式交叉核对。
E03,primary_public_source,Cerebras-GPT: Open Compute-Optimal Language Models Trained on the Cerebras Wafer-Scale Cluster,https://arxiv.org/abs/2304.03208,原始 Cerebras-GPT 论文说明模型在 EleutherAI Pile 上训练。,仅作为 B2 数据来源背景，不能把本地半合成轨迹改称原始训练日志。,论文语料声明不提供本地 B2 每条 Loss 的 17 域 p 联接。,原始论文；2026-09-24 检索。
L05,local_data,B3 training_trajectories/*.csv,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/,8 条 Pythia 派生路径各 500 点；interpolated 列均为 1；文件无 p 字段。,B3 是插值产物，不产生独立配比变化或真实训练配方。,B3 点值的来源仍依赖 Pythia B1；不作为 p 多样性增量。,逐文件读取列、行数、插值标志并计算文件哈希。
L06,local_data,B4 scaling_baseline.csv,中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv,B4 有 57 个点、12 个 family；只有 family/N/D/Loss/converged 字段，无 p、逐行 source 或运行键。,B4 只能作为横截面来源审计；不能按 family 直接构造训练轨迹或 p。,source_manifest 只说明是 curated snapshots；需要补齐每条记录的原始模型与论文定位。,本地表字段 + manifest；记录哈希作为审计定位符，不把行号当 join key。
L07,local_data,B5 published_scaling_data.csv,中文题目/F题/real_attachments/B_scaling_laws/published_scaling_data.csv,B5 有 44 个点、9 个 family、6 个 source 字符串；无 p 或逐条运行键。,来源字符串只是追溯线索，不等于已建立某个模型运行到 Loss 行的 recipe 联接。,不同论文披露粒度和数据分类不同；不得把同一作者/家族或其他版本比例直接转给某行。,按原字符串分组并保留到逐行映射表。
E04,primary_public_source,"Language Models are Few-Shot Learners (Brown et al., 2020)",https://arxiv.org/abs/2005.14165,GPT-3 论文 Table 2.2 报告一个 5 类训练 mix 的抽样权重。,说明个别公开论文能提供候选配方；该候选不能自动赋给 B5 的 Kaplan et al. 2020 行。,B5 的 source 字段是 Kaplan et al. 2020；Brown 的 GPT-3 配方不是该字段的同一引用，且五类 taxonomy 不等于项目 17 维 p。,只作反例/来源区分；不将此配方写入 B5 映射。
E05,primary_public_source,"LLaMA: Open and Efficient Foundation Language Models (Touvron et al., 2023)",https://arxiv.org/abs/2302.13971,原始 LLaMA 论文 Table 1 披露 LLaMA v1 的 7 类采样比例。,B5 中 LLaMA v1 行存在候选配方重建线索。,B5 同一 source 字符串还包括 LLaMA-2 行；不能把 LLaMA v1 配方自动复制给 LLaMA-2，且该 7 类表尚未映射为项目 17 类、也未与 B5 行逐条核对。,候选来源；暂不作为已联接的正式 p。
E06,primary_public_source,"OPT: Open Pre-trained Transformer Language Models (Zhang et al., 2022)",https://arxiv.org/abs/2205.01068,论文数据卡列出 OPT 训练语料的多个组成来源，但并未在本审计所需的项目 17 域合同下给出可直接使用的权重向量。,B5 OPT 的 source 字段可作为查证入口，不足以生成正式 p。,不能把各语料容量、验证样本抽样比例或 token 总量当作训练抽样权重。,原始论文；不做比例推断。
E07,primary_public_source,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,https://arxiv.org/abs/2211.05100,BLOOM 使用 ROOTS 的大量多语言来源。,B5 的 BLOOM source 不能直接等同到项目的 17 个 Pile/RegMix 域。,需逐来源构造可审计 crosswalk 和训练 token 权重；语言/语料清单不等于 p。,原始论文；不把不同 taxonomy 强制并成 17 维。
E08,primary_public_source,PaLM: Scaling Language Modeling with Pathways,https://arxiv.org/abs/2204.02311,PaLM 是独立训练来源；本审计没有发现本地 B5 到项目 17 维配比的逐条连接证据。,将 B5 PaLM 条目保留为文献候选，而不把源列表/语言统计当成域配比。,若后续声称有具体权重，须能在原论文/官方配置中定位并证明分母定义。,原始论文；当前仅记 provenance lead。
E09,primary_public_source,"Scaling Laws for Neural Language Models (Kaplan et al., 2020)",https://arxiv.org/abs/2001.08361,B5 原始 source 字符串为 Kaplan et al. 2020，覆盖 GPT-2/GPT-3 family 标签；需要按该 source 实际记录定位训练运行。,明确禁止把 Brown et al. 的 GPT-3 训练 mix 仅因 family 标签相似就转移到 Kaplan 来源行。,B5 CSV 没有逐行原始模型 ID/训练运行键，当前 citation 字符串不足以确定各行的精确数据配方。,原始论文；只用于来源辨析，不臆造或转填比例。
