order,indicator,meaning,scalar_field,norm_field,missing_flag,invalid_flag,unit_suspect_flag,outlier_flag,raw_type,scalar_rule,direction,transform,normalization,valid_domain,q1_1_use
1,fineweb_edu,FineWeb 教育质量分数,scalar_fineweb_edu,norm_fineweb_edu,missing_fineweb_edu,invalid_fineweb_edu,unit_suspect_fineweb_edu,outlier_fineweb_edu,single_list,"length=1, take the unique element",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
2,fluency_en,英文流畅概率,scalar_fluency_en,norm_fluency_en,missing_fluency_en,invalid_fluency_en,unit_suspect_fluency_en,outlier_fluency_en,prob_index_1,"stable softmax, take class index 1",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
3,modernbert_cleanliness,ModernBERT 清洁度等级期望,scalar_modernbert_cleanliness,norm_modernbert_cleanliness,missing_modernbert_cleanliness,invalid_modernbert_cleanliness,unit_suspect_modernbert_cleanliness,outlier_modernbert_cleanliness,ordinal_logits,"stable softmax, expected level / 5",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
4,modernbert_readability,ModernBERT 可读性等级期望,scalar_modernbert_readability,norm_modernbert_readability,missing_modernbert_readability,invalid_modernbert_readability,unit_suspect_modernbert_readability,outlier_modernbert_readability,ordinal_logits,"stable softmax, expected level / 5",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
5,modernbert_reasoning,ModernBERT 推理性等级期望,scalar_modernbert_reasoning,norm_modernbert_reasoning,missing_modernbert_reasoning,invalid_modernbert_reasoning,unit_suspect_modernbert_reasoning,outlier_modernbert_reasoning,ordinal_logits,"stable softmax, expected level / 5",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
6,modernbert_professionalism,ModernBERT 专业性等级期望,scalar_modernbert_professionalism,norm_modernbert_professionalism,missing_modernbert_professionalism,invalid_modernbert_professionalism,unit_suspect_modernbert_professionalism,outlier_modernbert_professionalism,ordinal_logits,"stable softmax, expected level / 5",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
7,dsir_books,DSIR 书籍域信号,scalar_dsir_books,norm_dsir_books,missing_dsir_books,invalid_dsir_books,unit_suspect_dsir_books,outlier_dsir_books,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
8,dsir_wiki,DSIR Wikipedia 域信号,scalar_dsir_wiki,norm_dsir_wiki,missing_dsir_wiki,invalid_dsir_wiki,unit_suspect_dsir_wiki,outlier_dsir_wiki,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
9,dsir_math,DSIR 数学域信号,scalar_dsir_math,norm_dsir_math,missing_dsir_math,invalid_dsir_math,unit_suspect_dsir_math,outlier_dsir_math,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
10,qurater,Qurater 列表均值,scalar_qurater,norm_qurater,missing_qurater,invalid_qurater,unit_suspect_qurater,outlier_qurater,mean_list,mean of all finite list elements,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
