model_name_raw,baseline_core6_index_0_100,baseline_rank,best_rank_across_bbh_loo,worst_rank_across_bbh_loo,median_rank_across_bbh_loo,max_abs_rank_shift,task_at_max_abs_rank_shift,top_n_cutoff,top_n_count_across_bbh_loo,bbh_leaf_task_n
someon98/qwen-CoMa-0.5b,17.354424454461377,724,718,737,724.0,13,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
T145/Meta-Llama-3.1-8B-Instruct-TIES,60.06715085227853,340,335,352,340.0,12,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,17.973860989456206,708,699,720,708.0,12,leaderboard_bbh_hyperbaton,100,0,24
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,17.82660237230051,713,701,718,712.5,12,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,17.23798899362339,730,721,742,730.0,12,leaderboard_bbh_hyperbaton,100,0,24
jeffmeloy/Qwen2.5-7B-minperplexity-2,59.9078657660637,347,336,353,347.0,11,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Sakalti/Phi3.5-Comets-3.8B,18.593362723486106,687,676,697,687.0,11,leaderboard_bbh_web_of_lies,100,0,24
sumink/bbhqwen5,18.24943732269336,698,694,709,698.0,11,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32,17.017169227409173,738,727,745,738.0,11,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DoppelReflEx/MN-12B-Unleashed-Twilight,59.841531175093145,350,340,355,350.0,10,leaderboard_bbh_web_of_lies,100,0,24
ClaudioItaly/intelligence-cod-rag-7b-v3,59.64612639283646,355,345,357,355.0,10,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
oopere/pruned40-llama-1b,18.73383454018865,683,679,693,682.5,10,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
Nexesenex/Llama_3.2_1b_Odyssea_V1,18.393096040868546,696,686,703,695.0,10,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,18.303945801678523,697,694,707,697.0,10,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
prithivMLmods/Magellanic-Qwen-25B-R999,17.251004088356698,729,724,739,728.0,10,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
BSC-LT/salamandra-7b,17.19746173330879,732,722,738,733.0,10,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,68.69499954163176,265,256,266,265.0,9,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
grimjim/Magot-v2-Gemma2-8k-9B,68.60571312119434,266,257,269,266.0,9,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
agentlans/Llama3.1-Daredevilish,60.37800750267937,335,332,344,335.0,9,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,60.21836833677791,337,335,346,337.0,9,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Ateron/Lotus-Magpic,59.98114231925354,342,334,351,343.5,9,leaderboard_bbh_sports_understanding,100,0,24
marcuscedricridia/Yell-Qwen2.5-7B-Preview-v1.1,59.94309216199634,343,338,352,346.0,9,leaderboard_bbh_formal_fallacies,100,0,24
DoppelReflEx/MN-12B-LilithFrame-Experiment-4,59.85208496957666,349,340,354,349.0,9,leaderboard_bbh_formal_fallacies,100,0,24
weathermanj/Menda-3b-Optim-100,59.78846943130589,352,343,357,350.0,9,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
KingNish/qwen-1b-continued,18.766622354806746,681,677,690,681.0,9,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,18.63979403203197,686,681,695,686.0,9,leaderboard_bbh_temporal_sequences,100,0,24
