dataset,unit_type,unit_id,model_family,model_repo,N_params_B,record_count,distinct_D_count,D_min_B_tokens,D_max_B_tokens,loss_column,source_role,track_key_status,p_recipe_group_candidate,p_recipe_status,p_D_status,p_loss_join_status,independent_recipe_count_contribution,eligible_as_real_p_variation,audit_locator,record_fingerprint_sha256,limitations
B1,training_trajectory,EleutherAI/pythia-70m,Pythia,EleutherAI/pythia-70m,0.070542,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-160m,Pythia,EleutherAI/pythia-160m,0.162405,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-410m,Pythia,EleutherAI/pythia-410m,0.409009,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-1b,Pythia,EleutherAI/pythia-1b,1.040867,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-1.4b,Pythia,EleutherAI/pythia-1.4b,1.416184,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-2.8b,Pythia,EleutherAI/pythia-2.8b,2.782831,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-6.9b,Pythia,EleutherAI/pythia-6.9b,6.86104,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B1,training_trajectory,EleutherAI/pythia-12b,Pythia,EleutherAI/pythia-12b,11.965825,147,147,0.134,299.893,val_loss,real Pythia checkpoint log; primary B1 fit source,"model_repo mapped through Gate0/B12; run_id is row/checkpoint-level, not trajectory key",pythia_shared_training_data_order_policy,各规模共享数据顺序政策；数值化项目 17 域配比缺失或未联接,not reconstructed; local log has no per-source token counts or token-stream position map,NO: no p columns or traceable p-to-Loss key in B1 table,0 verified numeric p vectors; 8 sizes share one documented data-order policy,NO under current local evidence,,,Pythia official data/code make a future reconstruction pathway plausible; exact project-17 mapping and row/checkpoint join remain absent.
B2,semi_synthetic_track,cerebras_0.111B,Cerebras-GPT,,0.111,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B2,semi_synthetic_track,cerebras_0.256B,Cerebras-GPT,,0.256,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
