dataset,source_domain,indicator_a,indicator_b,pair_n,mean_abs_gap,spearman_rho,a1_macro_rank
a1,arxiv,fineweb_edu,fluency_en,1419,0.1604754885368032,0.32372892535230485,185
a1,arxiv,fineweb_edu,modernbert_cleanliness,1419,0.12274019729622336,-0.08008473937537704,195
a1,arxiv,fineweb_edu,modernbert_readability,1419,0.12735192528516875,0.33616979245071266,196
a1,arxiv,fineweb_edu,modernbert_reasoning,1419,0.14625872772208176,-0.21762340206826208,210
a1,arxiv,fineweb_edu,modernbert_professionalism,1419,0.1458242855065641,-0.40136772056904846,202
a1,arxiv,fineweb_edu,dsir_books,1419,0.8143828889143315,0.25709331287932613,25
a1,arxiv,fineweb_edu,dsir_wiki,1419,0.8132155433191067,0.2609126896007878,23
a1,arxiv,fineweb_edu,dsir_math,1419,0.8074594115462654,0.24040818542252662,26
a1,arxiv,fineweb_edu,qurater,1419,0.12441328332571348,0.29561746789114485,218
a1,arxiv,fineweb_edu,ad_en,1419,0.2646644442251627,-0.1389148891427693,170
a1,arxiv,fineweb_edu,rps_doc_word_count,1419,0.7421148975853749,0.06337261843370959,70
a1,arxiv,fineweb_edu,rps_doc_num_sentences,1419,0.7337337475521464,0.02607421056558355,66
a1,arxiv,fineweb_edu,rps_doc_unigram_entropy,1419,0.131681839628905,-0.10138323993001593,180
a1,arxiv,fineweb_edu,rps_doc_frac_unique_words,1419,0.7988447220370632,0.0334785571832254,19
a1,arxiv,fineweb_edu,rps_doc_frac_no_alph_words,1419,0.5365186373118824,0.2918688590414671,104
a1,arxiv,fineweb_edu,rps_doc_frac_chars_top_2gram,1419,0.18887995188056747,-0.16509461351189983,160
a1,arxiv,fineweb_edu,rps_doc_frac_chars_top_3gram,1419,0.22672151671526203,-0.009809984988221512,155
a1,arxiv,fineweb_edu,rps_lines_uppercase_letter_fraction,1419,0.38489881675451476,-0.10373897232335959,80
a1,arxiv,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,1419,0.5237730948713202,0.07903363029509695,71
a1,arxiv,fineweb_edu,rps_lines_numerical_chars_fraction,1419,0.5059734959185999,-0.11838275453463033,103
a1,arxiv,fineweb_edu,rps_doc_mean_word_length,1419,0.285770168604552,0.19850370023367575,164
a1,arxiv,fluency_en,modernbert_cleanliness,1419,0.13049825226057143,0.28473617056348005,213
a1,arxiv,fluency_en,modernbert_readability,1419,0.11371826053036989,0.2235896083996085,215
a1,arxiv,fluency_en,modernbert_reasoning,1419,0.23323928696424645,0.18521227245935404,157
a1,arxiv,fluency_en,modernbert_professionalism,1419,0.2282992311730051,0.0440203965386281,118
a1,arxiv,fluency_en,dsir_books,1419,0.7253987521801205,0.05355287532873246,63
a1,arxiv,fluency_en,dsir_wiki,1419,0.7242146985626344,0.05477627239426475,60
a1,arxiv,fluency_en,dsir_math,1419,0.7184886668544842,0.0464123233078854,59
a1,arxiv,fluency_en,qurater,1419,0.20383012166977046,0.41376998162389117,212
a1,arxiv,fluency_en,ad_en,1419,0.18901762819740697,0.23525176618898677,178
a1,arxiv,fluency_en,rps_doc_word_count,1419,0.6539680124495569,-0.03201688925096692,86
a1,arxiv,fluency_en,rps_doc_num_sentences,1419,0.6451930928370085,0.01285063061605385,85
a1,arxiv,fluency_en,rps_doc_unigram_entropy,1419,0.199049444867346,-0.07077292237468334,143
a1,arxiv,fluency_en,rps_doc_frac_unique_words,1419,0.7100264930835751,-0.06771208431847457,46
a1,arxiv,fluency_en,rps_doc_frac_no_alph_words,1419,0.4564951258436202,0.11380679958983932,189
a1,arxiv,fluency_en,rps_doc_frac_chars_top_2gram,1419,0.15459111738444092,-0.10599264626963882,142
a1,arxiv,fluency_en,rps_doc_frac_chars_top_3gram,1419,0.15307361469799813,0.005512227174959448,158
a1,arxiv,fluency_en,rps_lines_uppercase_letter_fraction,1419,0.29872691597229284,0.032566619331056694,174
a1,arxiv,fluency_en,rps_lines_ending_with_terminal_punctution_mark,1419,0.4420321019697895,-0.03824115535306707,162
a1,arxiv,fluency_en,rps_lines_numerical_chars_fraction,1419,0.42618126153911917,0.05088554756049477,132
a1,arxiv,fluency_en,rps_doc_mean_word_length,1419,0.2387331945014825,0.15274764519861025,188
a1,arxiv,modernbert_cleanliness,modernbert_readability,1419,0.08573249646670103,0.11608564519365744,224
a1,arxiv,modernbert_cleanliness,modernbert_reasoning,1419,0.12068515548845464,0.30190545209224645,214
a1,arxiv,modernbert_cleanliness,modernbert_professionalism,1419,0.11700845800260741,0.38916338835141967,161
a1,arxiv,modernbert_cleanliness,dsir_books,1419,0.838489134436954,0.0062417988116186575,32
a1,arxiv,modernbert_cleanliness,dsir_wiki,1419,0.8373592300900663,0.004032323162902036,31
a1,arxiv,modernbert_cleanliness,dsir_math,1419,0.8316934408540824,0.028199152305851165,29
a1,arxiv,modernbert_cleanliness,qurater,1419,0.10307893840096548,0.2225999502062049,217
a1,arxiv,modernbert_cleanliness,ad_en,1419,0.20811756025419184,0.2779930636779787,152
a1,arxiv,modernbert_cleanliness,rps_doc_word_count,1419,0.7667890044959165,0.1177898652796347,57
a1,arxiv,modernbert_cleanliness,rps_doc_num_sentences,1419,0.7571699412420666,0.192523919418394,61
a1,arxiv,modernbert_cleanliness,rps_doc_unigram_entropy,1419,0.0980127944741974,-0.1535744250831671,204
a1,arxiv,modernbert_cleanliness,rps_doc_frac_unique_words,1419,0.8226215783918801,0.10708529483858717,20
a1,arxiv,modernbert_cleanliness,rps_doc_frac_no_alph_words,1419,0.5593931647802551,-0.13259843413692055,165
a1,arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_2gram,1419,0.13358051273818272,-0.07708086588561043,186
a1,arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_3gram,1419,0.2020119859240052,-0.044414741015395415,183
a1,arxiv,modernbert_cleanliness,rps_lines_uppercase_letter_fraction,1419,0.3896939168067447,0.07855788931805639,91
a1,arxiv,modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,1419,0.5432056512154311,-0.11488620254279326,177
a1,arxiv,modernbert_cleanliness,rps_lines_numerical_chars_fraction,1419,0.5051005417111047,0.0939597771219185,108
