task_key,task_version,metric_key,metric_name,higher_is_better,task_role,models_with_key,models_with_numeric_score,models_missing_or_invalid_score,models_with_unknown_direction,distinct_n_effective_values_json
leaderboard,,"acc,none",acc,true,group_summary,776,776,0,0,[]
leaderboard,,"acc_norm,none",acc_norm,true,group_summary,776,776,0,0,[]
leaderboard,,"exact_match,none",exact_match,true,group_summary,776,776,0,0,[]
leaderboard,,"inst_level_loose_acc,none",inst_level_loose_acc,true,group_summary,776,776,0,0,[]
leaderboard,,"inst_level_strict_acc,none",inst_level_strict_acc,true,group_summary,776,776,0,0,[]
leaderboard,,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,group_summary,776,776,0,0,[]
leaderboard,,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,group_summary,776,776,0,0,[]
leaderboard,1.0,"acc,none",acc,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"acc_norm,none",acc_norm,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"exact_match,none",exact_match,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"inst_level_loose_acc,none",inst_level_loose_acc,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"inst_level_strict_acc,none",inst_level_strict_acc,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,group_summary,1078,1078,0,0,[]
leaderboard,1.0,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,group_summary,1078,1078,0,0,[]
leaderboard_arc_challenge,1.0,"acc,none",acc,true,task_subtask,85,85,0,0,"[""100"",""1172""]"
leaderboard_arc_challenge,1.0,"acc_norm,none",acc_norm,true,task_subtask,85,85,0,0,"[""100"",""1172""]"
leaderboard_bbh,,"acc_norm,none",acc_norm,true,group_summary,1858,1858,0,0,[]
leaderboard_bbh_boolean_expressions,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_causal_judgement,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""187""]"
leaderboard_bbh_date_understanding,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_disambiguation_qa,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_formal_fallacies,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_geometric_shapes,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_hyperbaton,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_logical_deduction_five_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_logical_deduction_seven_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_logical_deduction_three_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_movie_recommendation,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_navigate,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_object_counting,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_penguins_in_a_table,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""146""]"
leaderboard_bbh_reasoning_about_colored_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_ruin_names,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_salient_translation_error_detection,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_snarks,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""178""]"
leaderboard_bbh_sports_understanding,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_temporal_sequences,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_tracking_shuffled_objects_five_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_tracking_shuffled_objects_three_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_bbh_web_of_lies,0.0,"acc_norm,none",acc_norm,true,task_subtask,1860,1860,0,0,"[""100"",""250""]"
leaderboard_gpqa,,"acc_norm,none",acc_norm,true,group_summary,1854,1854,0,0,[]
leaderboard_gpqa_diamond,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""198""]"
leaderboard_gpqa_extended,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""546""]"
leaderboard_gpqa_main,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""448""]"
