source_row_1based,Source,Year,Model,Average,Average_numeric,duplicate_group_rows,conflicting_duplicate_metrics,kept_for_summary
28,Open LLM Leaderboard,2024,0-hero/Matter-0.2-7B-DPO,8.91,8.91,1,False,True
29,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B,25.65,25.65,1,False,True
30,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-32K,26.73,26.73,1,False,True
31,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-Chat,33.36,33.36,1,False,True
32,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-Chat-16K,29.40,29.4,1,False,True
33,Open LLM Leaderboard,2024,01-ai/Yi-1.5-6B,16.75,16.75,1,False,True
34,Open LLM Leaderboard,2024,01-ai/Yi-1.5-6B-Chat,22.78,22.78,1,False,True
35,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B,22.15,22.15,1,False,True
36,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-32K,19.81,19.81,1,False,True
37,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-Chat,29.53,29.53,1,False,True
38,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-Chat-16K,23.77,23.77,1,False,True
39,Open LLM Leaderboard,2024,01-ai/Yi-34B,22.37,22.37,1,False,True
40,Open LLM Leaderboard,2024,01-ai/Yi-34B-200K,20.01,20.01,1,False,True
41,Open LLM Leaderboard,2024,01-ai/Yi-34B-Chat,24.23,24.23,1,False,True
42,Open LLM Leaderboard,2024,01-ai/Yi-6B,13.61,13.61,1,False,True
43,Open LLM Leaderboard,2024,01-ai/Yi-6B-200K,12.00,12.0,1,False,True
44,Open LLM Leaderboard,2024,01-ai/Yi-6B-Chat,14.12,14.12,1,False,True
45,Open LLM Leaderboard,2024,01-ai/Yi-9B,17.81,17.81,1,False,True
46,Open LLM Leaderboard,2024,01-ai/Yi-9B-200K,17.73,17.73,1,False,True
47,Open LLM Leaderboard,2024,01-ai/Yi-Coder-9B-Chat,16.99,16.99,1,False,True
52,Open LLM Leaderboard,2024,152334H/miqu-1-70b-sf,29.10,29.1,1,False,True
53,Open LLM Leaderboard,2024,1TuanPham/T-VisStar-7B-v0.1,19.14,19.14,1,False,True
54,Open LLM Leaderboard,2024,1TuanPham/T-VisStar-v0.1,19.14,19.14,1,False,True
55,Open LLM Leaderboard,2024,3rd-Degree-Burn/L-3.1-Science-Writer-8B,21.09,21.09,1,False,True
56,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,11.22,11.22,1,False,True
57,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.04,8.04,1,False,True
58,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-Squared-8B,12.43,12.43,1,False,True
59,Open LLM Leaderboard,2024,4season/final_model_test_v2,23.09,23.09,1,False,True
60,Open LLM Leaderboard,2024,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,28.57,28.57,1,False,True
61,Open LLM Leaderboard,2024,AALF/FuseChat-Llama-3.1-8B-SFT-preview,29.23,29.23,1,False,True
62,Open LLM Leaderboard,2024,AALF/gemma-2-27b-it-SimPO-37K,9.51,9.51,1,False,True
63,Open LLM Leaderboard,2024,AALF/gemma-2-27b-it-SimPO-37K-100steps,10.25,10.25,1,False,True
64,Open LLM Leaderboard,2024,AELLM/gemma-2-aeria-infinity-9b,31.92,31.92,1,False,True
65,Open LLM Leaderboard,2024,AELLM/gemma-2-lyco-infinity-9b,30.05,30.05,1,False,True
67,Open LLM Leaderboard,2024,AGI-0/Artificium-llama3.1-8B-001,19.49,19.49,1,False,True
68,Open LLM Leaderboard,2024,AGI-0/smartllama3.1-8B-001,20.42,20.42,1,False,True
69,Open LLM Leaderboard,2024,AI-MO/NuminaMath-7B-CoT,16.12,16.12,1,False,True
70,Open LLM Leaderboard,2024,AI-MO/NuminaMath-7B-TIR,14.18,14.18,1,False,True
71,Open LLM Leaderboard,2024,AI-Sweden-Models/Llama-3-8B-instruct,14.34,14.34,1,False,True
72,Open LLM Leaderboard,2024,AI-Sweden-Models/gpt-sw3-40b,4.87,4.87,1,False,True
76,Open LLM Leaderboard,2024,Aashraf995/Creative-7B-nerd,29.98,29.98,1,False,True
77,Open LLM Leaderboard,2024,Aashraf995/Gemma-Evo-10B,34.33,34.33,1,False,True
78,Open LLM Leaderboard,2024,Aashraf995/Qwen-Evo-7B,30.28,30.28,1,False,True
79,Open LLM Leaderboard,2024,Aashraf995/QwenStock-14B,37.13,37.13,1,False,True
80,Open LLM Leaderboard,2024,AbacusResearch/Jallabi-34B,26.19,26.19,1,False,True
90,Open LLM Leaderboard,2024,Alibaba-NLP/gte-Qwen2-7B-instruct,13.83,13.83,1,False,True
91,Open LLM Leaderboard,2024,Alsebay/Qwen2.5-7B-test-novelist,27.17,27.17,1,False,True
98,Open LLM Leaderboard,2024,ArliAI/ArliAI-RPMax-12B-v1.1,20.98,20.98,1,False,True
99,Open LLM Leaderboard,2024,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,23.94,23.94,1,False,True
