dataset,model_family,n_records,paper,paper_url_as_labeled,candidate_paper_url_unverified,table_or_figure,N_params_B,D_tokens_B,loss_name,observed_val_loss_range,loss_unit,evaluation_dataset,split,tokenizer,context_length,preprocessing,convergence_status,classification_vs_B1,within_source_trend_current,within_source_trend_candidate,source_label_as_stored,evidence_and_disposition
B1,Pythia (B1 reference),1176,Pythia paper / EleutherAI Scaling Suite (suite source label),https://arxiv.org/abs/2304.01373,NONE,UNKNOWN (local CSV row mapping; paper table/figure not identified),0.070542..11.9658 (n=1176),0.134..299.893 (n=1176),val_loss (local CSV label only),2.0933..4.7388 (n=1176),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,not supplied in this CSV,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,EleutherAI Pythia Scaling Suite,"ppl≈exp(val_loss) is a local consistency check only; exact eval split, aggregation code and row-level evaluation protocol remain UNKNOWN."
B4,Phi,6,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,1.3..18 (n=6),350..4790 (n=6),val_loss (local CSV label only),2.0512..2.5317 (n=6),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,LLaMA,6,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,3.5..70 (n=6),1229..15000 (n=6),val_loss (local CSV label only),1.71..2.3258 (n=6),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,Qwen2,7,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,0.5..72 (n=7),361..33739 (n=7),val_loss (local CSV label only),1.85..2.8399 (n=7),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,Pythia,8,"UNKNOWN (curated manifest only; Pythia paper is family background, not point mapping)",UNKNOWN,https://arxiv.org/abs/2304.01373,UNKNOWN,0.07..12 (n=8),6..300 (n=8),val_loss (local CSV label only),2.1077..4.3629 (n=8),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,possible same-family overlap; not independent validation absent exact source keys
B4,Gemma,3,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,2..9 (n=3),1049..8000 (n=3),val_loss (local CSV label only),2.0973..2.394 (n=3),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,GPT2,4,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,0.12..1.5 (n=4),40..40 (n=4),val_loss (local CSV label only),2.7..3 (n=4),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,OPT,7,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,0.13..30 (n=7),300..300 (n=7),val_loss (local CSV label only),2.1..3.11 (n=7),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,BLOOM,4,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,0.56..7.1 (n=4),350..350 (n=4),val_loss (local CSV label only),2.3..2.75 (n=4),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,Falcon,2,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,7..40 (n=2),1500..1500 (n=2),val_loss (local CSV label only),2.05..2.25 (n=2),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
B4,Mistral,1,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,7..7 (n=1),8000..8000 (n=1),val_loss (local CSV label only),2.1..2.1 (n=1),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,one row cannot establish a trend
B4,Yi,2,UNKNOWN (source_manifest says curated family snapshots; no per-row paper),UNKNOWN,NONE,UNKNOWN,6..34 (n=2),3000..3000 (n=2),val_loss (local CSV label only),1.9..2.1 (n=2),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,no absolute comparison or sourced trend until rows traced
