task,relative_path,rows,columns,sha256,source_of_record,role
01_fixed,M3_M4成本独立审计/m0_optimum_cost_audit.csv,15,27,d91beb993da501573f7b150f3256f4609b7e7f86bd4c24d19e0a9edd1858bd83,Q3/04_结果/M3_M4成本独立审计/m0_optimum_cost_audit.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m3_support_alignment.csv,1176,12,7426324d77c8dc1b9e0d6dd8b60089f5de3fd232c98b21fc5573c4b64f3dd63b,Q3/04_结果/M3_M4成本独立审计/m3_support_alignment.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_budget_feasibility.csv,17640,19,bc66380fb49d4a63b7655e648e136d95812fdf8cb74c7aaf74806713e69787a6,Q3/04_结果/M3_M4成本独立审计/m_budget_feasibility.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_budget_nesting_audit.csv,10,8,53045a1653319249e88c49b44b0c47e6bf833956b6a37d99c6c3814df2ec6561,Q3/04_结果/M3_M4成本独立审计/m_budget_nesting_audit.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_budget_summary.csv,15,11,4c196f6941635726308ea6f7cd67f662280cf3b0e7bc89acdfd351a74985dc25,Q3/04_结果/M3_M4成本独立审计/m_budget_summary.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_cost_grid.csv,5880,17,ea18712363bc8312c63cfecb1ed7ef0fbcabb824780d6f4198bbabb33d0b7c10,Q3/04_结果/M3_M4成本独立审计/m_cost_grid.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_cost_identity_failures.csv,0,7,ae092c97ca8bfd024396af786f49b45655624188f634d89af323bcbddd54f0ae,Q3/04_结果/M3_M4成本独立审计/m_cost_identity_failures.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_cost_share.csv,15,27,d91beb993da501573f7b150f3256f4609b7e7f86bd4c24d19e0a9edd1858bd83,Q3/04_结果/M3_M4成本独立审计/m_cost_share.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_monotonicity_audit.csv,11,9,3d97adcddb7d70a589d84d66dde716c38c49a0b317fef6d84db06ffbc6d9d47a,Q3/04_结果/M3_M4成本独立审计/m_monotonicity_audit.csv,source_or_specialist_table
01_fixed,M3_M4成本独立审计/m_unit_check.csv,5,6,f0233bee23aae6811de5a0eb20a9d5aed0d33096c462296a25c9a35cf68ce81d,Q3/04_结果/M3_M4成本独立审计/m_unit_check.csv,source_or_specialist_table
01_fixed,q3_fixedQ_master_results.csv,15,49,24448178e2dc372f9f37eb8597b693a4e98cf2e8a8d2896c71b8ba87cdac0978,Q3/04_结果/q3_fixedQ_master_results.csv,source_or_specialist_table
01_fixed,q3_resource_transition.csv,22,53,eb04c4bae24b04fb6816bf205882ae6015f7fdbb1647b03e436263c70712d548,Q3/04_结果/q3_resource_transition.csv,source_or_specialist_table
01_fixed,M0_discrete_transition_bootstrap_draws.csv,22000,25,1855f6fc70a25797ebd242cff5bb4a325090fdd88eceb45980181f5d5d9058bb,Q3/04_结果/M0_discrete_transition_bootstrap_draws.csv,source_or_specialist_table
01_fixed,M0_discrete_transition_pairs.csv,22,23,7410fcc545c7bea281598bb46ea9ff77eff0d976291887f4968063b0cc1c19fc,Q3/04_结果/M0_discrete_transition_pairs.csv,source_or_specialist_table
01_fixed,M0_ND_cluster_bootstrap_frontier.csv,15,19,2e0677f48ae10acf4c148ea021864c14c09b4d9d8f7f83badaaf551792c796f2,Q3/04_结果/M0_ND_cluster_bootstrap_frontier.csv,source_or_specialist_table
01_fixed,M0_ND_cluster_bootstrap_selection_frequency.csv,15,8,37b12f07c580291caf078722ea4e3f355ae72a78d34c7ffa7923c8bf6e920ab5,Q3/04_结果/M0_ND_cluster_bootstrap_selection_frequency.csv,source_or_specialist_table
01_fixed,M0_ND_reference_frontier.csv,15,29,8018ecf57b47781098e4f9bc8ceb02f08b998b222dc674993640b32c0f936583,Q3/04_结果/M0_ND_reference_frontier.csv,source_or_specialist_table
01_fixed,m1_final_feasible_mask.csv,17640,21,2e201705adfdfec6089b088b7a17f403ff2b02e06ef87c0cffb9d80c69272662,Q3/04_结果/m1_final_feasible_mask.csv,source_or_specialist_table
01_fixed,m3_q3_support_grid.csv,1176,14,7e97aed1ef5f35a336da50baf2760b08c053ab7a697f65e1453b95702bf53e07,Q3/04_结果/m3_q3_support_grid.csv,source_or_specialist_table
01_fixed,m4_budget_feasible_mask.csv,17640,13,aae829847746b3db9fa6c382b863941655d86ab1b910c71834ba9b6c63bb87bc,Q3/04_结果/m4_budget_feasible_mask.csv,source_or_specialist_table
