blind_id,education,readability,coherence,information,overall,notes
Q11-0461,2,4,4,2,3,全文核读；简短百科条目且关键统计表缺失
Q11-0681,1,1,2,2,1,分点核读；原始HTML标记密集且正文价值有限
Q11-0150,2,2,1,2,1,分点核读；大量跨主题新闻标题与摘要拼接
Q11-0302,2,3,4,2,3,全文核读；条目连贯但人口等关键字段缺失
Q11-0352,5,4,5,5,5,超长全文分点核读；完整且专业的建筑理论专著
Q11-0312,3,4,3,3,3,全文核读；主体信息清楚但夹杂大量站内链接标题
Q11-0733,3,4,4,4,4,全文核读；学校课程与作息说明清晰
Q11-0719,5,4,5,5,5,分点核读；系统完整的德语随机抽样百科条目
Q11-0174,2,3,3,2,2,全文核读；营销性健康课程介绍且存在拼写问题
Q11-0391,5,3,5,5,4,超长全文分点核读；专业数学论文但为原始LaTeX
Q11-0176,5,3,5,5,4,超长全文分点核读；黑洞扰动课程论文且公式密集
Q11-0694,4,4,4,5,4,全文核读；内部审计术语表信息充分
Q11-0697,1,5,4,2,2,全文核读；语言清楚但只是花店节日广告
Q11-0576,4,5,5,5,5,全文核读；完整且结构严密的新闻报道
Q11-0066,5,4,5,5,5,全文核读；问题代码与线程调度解答完整
Q11-0270,5,5,5,5,5,超长全文分点核读；结构完整的职业发展专著
Q11-0666,1,2,2,1,1,全文核读；仅有植物名录状态碎片并含null
Q11-0053,5,3,5,5,4,超长全文分点核读；完整天体物理论文但为原始LaTeX
Q11-0145,4,3,4,4,4,分点核读；可运行语境明确的JavaScript源码
Q11-0115,4,2,3,5,3,分点核读；法规修订文本信息丰富但旧新条款重复
Q11-0128,5,5,5,5,5,超长全文分点核读；覆盖广泛且结构清楚的生活技能手册
Q11-0580,3,5,4,4,4,全文核读；清楚的房地产政策新闻片段
Q11-0299,5,5,5,5,5,全文核读；重力与质量问答解释完整易懂
Q11-0550,5,4,5,5,5,分点核读；完整的建筑史公共领域文本
Q11-0738,4,4,5,4,4,全文核读；目标明确且覆盖边界情况的Go测试代码
Q11-0218,2,4,4,3,3,全文核读；连贯的寝具企业品牌宣传材料
Q11-0583,3,2,2,3,2,分点核读；多个Gradle问题与答案混杂且重复
Q11-0495,5,3,5,5,4,分点核读；湍流建模论文完整但为原始LaTeX
Q11-0267,5,3,5,5,4,分点核读；图论论文论证完整但为原始LaTeX
Q11-0213,5,3,5,5,4,分点核读；复杂多臂老虎机论文完整但为原始LaTeX
