evidence_id,module,dataset_or_artifact,role,sample_or_units,status,evidence,supports,does_not_support,source_paths
Q1_FINAL_Q,Q interface,Q1-q_huber-v1,Frozen operational quality input,272505 sample rows; 9 domain rows,FROZEN_WITH_LIMITATIONS,Operational Q is q_huber; q_equal is the sensitivity score. The small translation-assisted review did not distinguish them; selection was an owner operational choice.,"Use a versioned, consistent Q1 interface in later analysis.",Claiming q_huber is a human-review winner or that Q has an independent B-side Loss effect.,results/q1_final/q1_final_freeze.json; results/q1_final/q1_final_decision.md
A_P_ONLY,A-side p-only,A4-A5 with held-out A6-A11,Source-specific recipe-to-Loss experiment,1M test n=256; 60M test n=256; 1B test n=64; 13 targets each,COMPLETE_WITH_LIMITS,"Simplex ridge closed-mixture macro R2: 1M=0.618888, 60M=-7.933569, 1B=-810.119586.",A-side same-scale p/Loss association under the specific A4/A5 design; cross-scale failure is evidence against transferring the fit unchanged.,"B1/B-side p effects, a universal cross-scale recipe effect, or causal claims.",results/q1_3/v1/holdout_metrics.csv; results/q1_3/v1/q1_3_run_report.md
A_PQ,A-side p+Q sensitivity,A4-A5 nested OOF; direct-only q_huber candidate,Derived-feature predictive comparison and identifiability audit,OOF recipes=478; common support only,COMPLETE_WITH_LIMITS,Nested OOF normalized RMSE: quadratic p-only=0.595170; p+Qcovered=0.763354; delta=+0.168184. Qcovered is deterministic from p in all audited scenarios.,The tested Qcovered feature did not improve A4/A5 nested OOF prediction over quadratic p-only under the primary direct-only mapping.,Independent Q effect; transfer to B Loss; interpreting predictive differences as significance or causality.,results/q1_3/pq_extension_v1/paired_comparison.csv; results/q1_3/pq_extension_v1/identifiability_audit.csv
A_ESTIMATES,A12-A15 scale estimates,10B/70B estimate tables,Estimate-table consistency only,10B: n=63 per target; 70B: n=63 per target; 13 targets,NOT_VALIDATION,"Macro RMSE: 10B=3.6016, 70B=3.9848; macro R2: 10B=-236.858, 70B=-385.314. These rows are estimate-table consistency checks only.",Describing agreement or disagreement with those supplied estimates.,Held-out test accuracy or external validation.,results/q1_3/v1/estimate_consistency_metrics.csv; results/q1_3/v1/q1_3_run_report.md
B1_M0,B1 classical scaling baseline,B1 Pythia training trajectories,Primary M0 fit,"1,176 checkpoints; 8 model_repo tracks; 147 checkpoints per track; 1,000 saved cluster-bootstrap fits",COMPLETE,Frozen M0 fit R2=0.999999817; N/D local derivatives and elasticities now have checkpoint and track summaries.,"The classic N,D reference law and local model-implied N,D effects over B1 support.","Independent p/Q effects, causal claims, or external validity from repeated checkpoints alone.",results/q2_scaling_baseline/v1/fit_parameters.json; results/q2_scaling_baseline/v1/q2_m0_marginal_effects_report.md
B2,B-side validation,B2,Semi-synthetic pressure test; not an independent real training validation.,n=1029,LIMITED_DIAGNOSTIC,RMSE=1.24308; MAE=1.17844; bias=-1.17844; R2=-5.0728; Spearman=0.788102.,Stress-test behavior for the constructed semi-synthetic scenario.,Independent real Cerebras validation.,results/q2_scaling_baseline/v1/validation_metrics_by_source.csv; Q2/03_结果/B2半合成压力测试/v1/b2_cerebras_stress_report.md
B3,B-side validation,B3,"Interpolation from eight Pythia trajectories; not 4,000 independent experiments or external validation.",n=4000,LIMITED_DIAGNOSTIC,RMSE=0.00382128; MAE=0.00289295; bias=-0.00196832; R2=0.999958; Spearman=0.99999.,Same-source interpolation shape check only.,Cross-source generalization or independent training-run validation.,results/q2_scaling_baseline/v1/validation_metrics_by_source.csv; Q2/03_结果/经典ScalingLaw基线/v1/b3_validation_closeout.md
B4,B-side validation,B4,Cross-family snapshots; Loss protocol and row provenance insufficient for absolute comparison to B1.,n=57,NOT_COMPARABLE_TO_B1,RMSE=0.292667; MAE=0.227263; bias=-0.221009; R2=0.604505; Spearman=0.982982.,Descriptive error diagnostics; no absolute Loss-scale validation.,Direct absolute Loss comparison to B1 or a verified source-internal trend at present.,results/q2_scaling_baseline/v1/validation_metrics_by_source.csv; Q2/03_结果/经典ScalingLaw基线/v1/b4_b5_loss_comparability_audit.md
B5,B-side validation,B5,Multi-paper literature points; common evaluation protocol and row-level provenance are not established.,n=44,NOT_COMPARABLE_TO_B1,RMSE=0.197595; MAE=0.170722; bias=-0.0205699; R2=0.730559; Spearman=0.958808.,Descriptive source-separated diagnostics; no pooled or absolute validation.,Direct absolute Loss comparison to B1; source-internal trends remain candidates until row citations are verified.,results/q2_scaling_baseline/v1/validation_metrics_by_source.csv; Q2/03_结果/经典ScalingLaw基线/v1/b4_b5_loss_comparability_audit.md
P_GATE,p identifiability gate,B1-B5 row/trajectory p linkage,M1 data-readiness gate,verified p vectors joined to Loss=0; Loss rows joined=0,FAIL_CURRENT_DATA,"No verified numeric 17-domain p vector is joined to B1-B5 Loss; B1 has one shared data-order policy, not eight numeric mixture vectors; p(D) is not reconstructed.",Concluding that current B data cannot identify an independent p increment.,Concluding that p has no effect.,Q2/03_结果/p配比可行性审计/v1/q2_p_audit_summary.json; Q2/03_结果/p配比可行性审计/v1/q2_p_feasibility_audit.md
