model_name_raw,baseline_core6_index_0_100,baseline_rank,best_rank_across_bbh_loo,worst_rank_across_bbh_loo,median_rank_across_bbh_loo,max_abs_rank_shift,task_at_max_abs_rank_shift,top_n_cutoff,top_n_count_across_bbh_loo,bbh_leaf_task_n
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,60.21836833677791,14,14,16,14.0,2,leaderboard_bbh_web_of_lies,10,0,24
Ateron/Lotus-Magpic,59.98114231925354,16,14,16,16.0,2,leaderboard_bbh_disambiguation_qa,10,0,24
1-800-LLMs/Qwen-2.5-14B-Hindi,80.55231146219442,3,3,4,3.0,1,leaderboard_bbh_boolean_expressions,10,24,24
Aashraf995/Gemma-Evo-10B,80.39150201293991,4,3,4,4.0,1,leaderboard_bbh_boolean_expressions,10,24,24
Ateron/Glowing-Forest-12B,60.00592250820523,15,14,16,15.0,1,leaderboard_bbh_boolean_expressions,10,0,24
Ateron/Way_of_MagPicaro,57.53276681059001,17,17,18,17.0,1,leaderboard_bbh_causal_judgement,10,0,24
Ahdoot/StructuredThinker-v0.3-MoreStructure,57.30014278921619,18,17,18,18.0,1,leaderboard_bbh_causal_judgement,10,0,24
Aryanne/QwentileSwap,91.27265437422233,1,1,1,1.0,0,leaderboard_bbh_boolean_expressions,10,24,24
Aashraf995/QwenStock-14B,84.50330120660803,2,2,2,2.0,0,leaderboard_bbh_boolean_expressions,10,24,24
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,75.87409306671297,5,5,5,5.0,0,leaderboard_bbh_boolean_expressions,10,24,24
Aashraf995/Qwen-Evo-7B,74.30083258644045,6,6,6,6.0,0,leaderboard_bbh_boolean_expressions,10,24,24
1024m/PHI-4-Hindi,73.76478825179107,7,7,7,7.0,0,leaderboard_bbh_boolean_expressions,10,24,24
Aashraf995/Creative-7B-nerd,72.89115290642123,8,8,8,8.0,0,leaderboard_bbh_boolean_expressions,10,24,24
Amaorynho/BBAIIFEV1,71.44898611323535,9,9,9,9.0,0,leaderboard_bbh_boolean_expressions,10,24,24
Aryanne/SHBA,70.23071466513066,10,10,10,10.0,0,leaderboard_bbh_boolean_expressions,10,24,24
1024m/QWEN-14B-B100,69.5856145477073,11,11,11,11.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Alsebay/Qwen2.5-7B-test-novelist,65.01791545925262,12,12,12,12.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AALF/FuseChat-Llama-3.1-8B-SFT-preview,64.71620573340222,13,13,13,13.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AGI-0/smartllama3.1-8B-001,54.05403932552553,19,19,19,19.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Ahdoot/Test_StealthThinker,53.67849727271542,20,20,20,20.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AIDC-AI/Marco-o1,52.214377506852834,21,21,21,21.0,0,leaderboard_bbh_boolean_expressions,10,0,24
3rd-Degree-Burn/L-3.1-Science-Writer-8B,50.75651759369834,22,22,22,22.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,47.50668281483265,23,23,23,23.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,46.20425204371458,24,24,24,24.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AuraIndustries/Aura-4B,41.46122365412468,25,25,25,25.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V0,40.42676044454272,26,26,26,26.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AicoresSecurity/Cybernet-Sec-3B-R1-V1,38.82579131468094,27,27,27,27.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AGI-0/Art-v0-3B,34.82346751853183,28,28,28,28.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AI4free/t2,31.304243230393094,29,29,29,29.0,0,leaderboard_bbh_boolean_expressions,10,0,24
AI4free/Dhanishtha,30.471196197267044,30,30,30,30.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Amu/t1-1.5B,27.63201595398257,31,31,31,31.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Amu/t1-3B,26.85030758751411,32,32,32,32.0,0,leaderboard_bbh_boolean_expressions,10,0,24
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,21.78085792019788,33,33,33,33.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Arthur-LAGACHERIE/Precis-1B-Instruct,21.43569034517145,34,34,34,34.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Alepach/notHumpback-M1,17.02469625878177,35,35,35,35.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Alepach/notHumpback-M0,16.44257696494444,36,36,36,36.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Alepach/notHumpback-M1-v2,15.701579451374222,37,37,37,37.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Amaorynho/BBAI270V4,14.280818506696448,38,38,38,38.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Amaorynho/BBAI2006,13.624913025008672,39,39,39,39.0,0,leaderboard_bbh_boolean_expressions,10,0,24
Amaorynho/BBAI_375,13.624913025008672,40,40,40,40.0,0,leaderboard_bbh_boolean_expressions,10,0,24
