source_row_1based,Source,Year,Model,Average,Average_numeric,duplicate_group_rows,conflicting_duplicate_metrics,kept_for_summary
2,Historical (papers/reports),2019,GPT-2 (1.5B),5.00,5.0,1,False,True
3,Historical (papers/reports),2020,GPT-3 (175B),50.00,50.0,1,False,True
4,Historical (papers/reports),2021,GPT-Neo (2.7B),2.00,2.0,1,False,True
5,Historical (papers/reports),2021,GPT-J (6B),5.00,5.0,1,False,True
6,Historical (papers/reports),2022,Chinchilla (70B),35.00,35.0,1,False,True
7,Historical (papers/reports),2022,OPT (1.3B),1.00,1.0,1,False,True
8,Historical (papers/reports),2022,OPT (6.7B),4.00,4.0,1,False,True
9,Historical (papers/reports),2022,OPT (30B),12.00,12.0,1,False,True
10,Historical (papers/reports),2022,OPT (175B),30.00,30.0,1,False,True
11,Historical (papers/reports),2022,BLOOM (7B),5.00,5.0,1,False,True
12,Historical (papers/reports),2022,BLOOM (176B),25.00,25.0,1,False,True
13,Historical (papers/reports),2023,LLaMA (7B),10.00,10.0,1,False,True
14,Historical (papers/reports),2023,LLaMA (13B),15.00,15.0,1,False,True
15,Historical (papers/reports),2023,LLaMA (33B),25.00,25.0,1,False,True
16,Historical (papers/reports),2023,LLaMA (65B),35.00,35.0,1,False,True
17,Historical (papers/reports),2023,Pythia-1B,1.00,1.0,1,False,True
18,Historical (papers/reports),2023,Pythia-6.9B,5.00,5.0,1,False,True
19,Historical (papers/reports),2023,Pythia-12B,8.00,8.0,1,False,True
20,Historical (papers/reports),2023,Falcon (7B),5.00,5.0,1,False,True
21,Historical (papers/reports),2023,Falcon (40B),12.00,12.0,1,False,True
22,Historical (papers/reports),2023,Mistral (7B),12.00,12.0,1,False,True
23,Historical (papers/reports),2023,Mixtral (8x7B),20.00,20.0,1,False,True
24,Historical (papers/reports),2023,Yi (6B),5.00,5.0,1,False,True
25,Historical (papers/reports),2023,Yi (34B),15.00,15.0,1,False,True
26,Historical (papers/reports),2024,Gemma (7B),8.00,8.0,1,False,True
27,Historical (papers/reports),2024,Gemma (2B),3.00,3.0,1,False,True
28,Open LLM Leaderboard,2024,0-hero/Matter-0.2-7B-DPO,8.91,8.91,1,False,True
29,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B,25.65,25.65,1,False,True
30,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-32K,26.73,26.73,1,False,True
31,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-Chat,33.36,33.36,1,False,True
