task_key,family,metric,valid_model_n_all_candidates,valid_model_n_core6_complete,core6_raw_score_mean,core6_raw_score_median,core6_raw_score_p25,core6_raw_score_p75
leaderboard_bbh_tracking_shuffled_objects_seven_objects,BBH,acc_norm,1819,40,0.1659,0.15,0.124,0.197
leaderboard_bbh_tracking_shuffled_objects_five_objects,BBH,acc_norm,1819,40,0.20149999999999996,0.198,0.16999999999999998,0.229
leaderboard_bbh_temporal_sequences,BBH,acc_norm,1819,40,0.39170000000000005,0.296,0.257,0.463
leaderboard_bbh_tracking_shuffled_objects_three_objects,BBH,acc_norm,1819,40,0.32809999999999995,0.324,0.312,0.348
leaderboard_bbh_geometric_shapes,BBH,acc_norm,1819,40,0.34550000000000003,0.33199999999999996,0.213,0.493
leaderboard_bbh_logical_deduction_seven_objects,BBH,acc_norm,1819,40,0.3473,0.366,0.16899999999999998,0.477
leaderboard_bbh_object_counting,BBH,acc_norm,1819,40,0.3315,0.372,0.293,0.437
leaderboard_bbh_logical_deduction_five_objects,BBH,acc_norm,1819,40,0.3836,0.384,0.241,0.487
leaderboard_bbh_salient_translation_error_detection,BBH,acc_norm,1819,40,0.3984,0.43,0.232,0.537
leaderboard_bbh_reasoning_about_colored_objects,BBH,acc_norm,1819,40,0.4617,0.476,0.256,0.658
leaderboard_bbh_penguins_in_a_table,BBH,acc_norm,1819,40,0.4352739726027397,0.4794520547945206,0.2534246575342466,0.5565068493150684
leaderboard_bbh_date_understanding,BBH,acc_norm,1819,40,0.45730000000000004,0.494,0.313,0.59
leaderboard_bbh_web_of_lies,BBH,acc_norm,1819,40,0.5133000000000001,0.496,0.488,0.528
leaderboard_bbh_disambiguation_qa,BBH,acc_norm,1819,40,0.49800000000000005,0.506,0.34199999999999997,0.64
leaderboard_bbh_formal_fallacies,BBH,acc_norm,1819,40,0.5498000000000001,0.528,0.483,0.586
leaderboard_bbh_ruin_names,BBH,acc_norm,1819,40,0.5074,0.548,0.314,0.668
leaderboard_bbh_logical_deduction_three_objects,BBH,acc_norm,1819,40,0.5849,0.59,0.365,0.751
leaderboard_bbh_hyperbaton,BBH,acc_norm,1819,40,0.6199999999999999,0.598,0.516,0.721
leaderboard_bbh_movie_recommendation,BBH,acc_norm,1819,40,0.5523,0.598,0.44499999999999995,0.716
leaderboard_bbh_causal_judgement,BBH,acc_norm,1819,40,0.5843582887700535,0.6042780748663101,0.5227272727272727,0.6256684491978609
leaderboard_bbh_snarks,BBH,acc_norm,1819,40,0.6196629213483147,0.6067415730337079,0.5337078651685393,0.6910112359550562
leaderboard_bbh_navigate,BBH,acc_norm,1819,40,0.5841999999999999,0.63,0.46599999999999997,0.665
leaderboard_bbh_sports_understanding,BBH,acc_norm,1819,40,0.6406,0.668,0.539,0.742
leaderboard_bbh_boolean_expressions,BBH,acc_norm,1819,40,0.7339,0.802,0.6439999999999999,0.837
