model_name_raw,c8_model_dir,run_id,c8_model_revision,c8_model_sha,c1_record_count,c1_record_ids,match_status,c1_match_basis,c2_record_number,c2_match_status,c2_match_basis,c3_match_basis,c4_match_basis,alias_match_used,human_confirmed_version_match,version_match_status,strict_version_confirmed,c3_exact_name_record_count,c4_exact_name_record_count,provisional_unique_name_candidate,interpretation
0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,72ff3547408ef55775d80e9a1a718e16c9d756293d91db6e1daa49be541e416e,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,1,[2],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,2,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-34B,01-ai_Yi-1.5-34B,047e17ae3b360b66af0856e604c6b63aba453f23755c81e72efbcb47d53df87b,4b486f81c935a2dadde84c6baa1e1370d40a098f,4b486f81c935a2dadde84c6baa1e1370d40a098f,1,[3],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,3,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-34B-32K,01-ai_Yi-1.5-34B-32K,8defa6f3e550b9d570842f0774a6c52796007d9b1460e1a9643564fa24dcbbbf,2c03a29761e4174f20347a60fbe229be4383d48b,2c03a29761e4174f20347a60fbe229be4383d48b,1,[4],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,4,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-34B-Chat,01-ai_Yi-1.5-34B-Chat,8c3005faaccdffadd79a6f30f38facf675871e7f0e11a2f6d17d766b177dfe83,f3128b2d02d82989daae566c0a7eadc621ca3254,f3128b2d02d82989daae566c0a7eadc621ca3254,1,[5],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,5,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-34B-Chat-16K,01-ai_Yi-1.5-34B-Chat-16K,a065c61250880e54cb412b62328d79e42f22053b4be76b71017c4af400991a96,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,1,[6],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,6,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-6B,01-ai_Yi-1.5-6B,b3a0db3f32fb2f255c691ec46ae00aa3516bee21262ded4e8ae2d5e464c0ee22,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,1,[7],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,7,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-6B-Chat,01-ai_Yi-1.5-6B-Chat,a813c731b2a9acd393a9f6386b274fc72fe894755ba6892b1538cb19c64d66aa,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,1,[8],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,8,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-9B,01-ai_Yi-1.5-9B,e809de3808db7ed061d8af6453f14c883b58b67914be35a6c2313543c495dabb,8cfde9604384c50137bee480b8cef8a08e5ae81d,8cfde9604384c50137bee480b8cef8a08e5ae81d,1,[9],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,9,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-9B-32K,01-ai_Yi-1.5-9B-32K,7d8033a0ca16688a146cbdb2fb4e11d975bba0ff43a711b3e45ecb79941d9d73,116561dfae63af90f9d163b43077629e0e916bb1,116561dfae63af90f9d163b43077629e0e916bb1,1,[10],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,10,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
01-ai/Yi-1.5-9B-Chat,01-ai_Yi-1.5-9B-Chat,4e53741a247d7c79b69a8d3659398884a7aba749fe2ddd15977e3928fe022e46,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,1,[11],exact_model_id_unique_record,exact C8 model-name string; unique C1 row required for candidate,11,one_to_one_base_row_confirmed,same C1/C2 row number; verified across all 12 base fields (text exact; numeric tolerance 5e-13),exact model-name intersection only; source/year metrics retained separately,no exact model-name intersection,False,False,source_version_missing,False,1,0,True,Exact-name joins are candidates only; C1 has no model revision/SHA field.
