source_row_1based,Model,Publication date,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Parameters,Parameters notes,Confidence,Numerical format,Training compute estimation method,Open model weights?,Reference,Link,publication_date_parsed,publication_year,date_status,included_as_of_cutoff,training_compute_numeric,training_compute_parse_status,dataset_size_numeric,dataset_size_parse_status,parameter_count_numeric,parameter_count_parse_status
2,DeepSeek-V4-Pro,2026-04-24,9.702e+24,6 * 49e9 active parameters * 33e12 tokens = 9.702E24 for pre-training,,,1600000000.0,"1.6T total, 49B active",Speculative,,,Yes,DeepSeek-V4: Towards Highly Efficient Million-Token Context Intelligence,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro/blob/main/DeepSeek_V4.pdf,2026-04-24,2026.0,after_cutoff,False,9.702e+24,finite_scalar,,missing,1600000000.0,finite_scalar
3,DeepSeek-V4-Flash,2026-04-24,2.496e+24,6 * 13e9 active parameters * 32e12 tokens = 2.496E24 for pre-training,,,284000000.0,"284B total, 13B active",Speculative,,,Yes,DeepSeek-V4: Towards Highly Efficient Million-Token Context Intelligence,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro/blob/main/DeepSeek_V4.pdf,2026-04-24,2026.0,after_cutoff,False,2.496e+24,finite_scalar,,missing,284000000.0,finite_scalar
4,GPT-5.5 Pro,2026-04-23,,,,,,,Likely,,,No,Introducing GPT‑5.5,https://openai.com/index/introducing-gpt-5-5/,2026-04-23,2026.0,after_cutoff,False,,missing,,missing,,missing
5,GPT-5.5,2026-04-23,,,,,,,Likely,,,No,Introducing GPT‑5.5,https://openai.com/index/introducing-gpt-5-5/,2026-04-23,2026.0,after_cutoff,False,,missing,,missing,,missing
6,Grok Voice Think Fast 1.0,2026-04-23,,,,,,,Likely,,,No,Grok Voice Think Fast 1.0,https://x.ai/news/grok-voice-think-fast-1,2026-04-23,2026.0,after_cutoff,False,,missing,,missing,,missing
7,GPT Image 2,2026-04-21,,,,,,,Likely,,,No,Introducing ChatGPT Images 2.0,https://openai.com/index/introducing-chatgpt-images-2-0/,2026-04-21,2026.0,after_cutoff,False,,missing,,missing,,missing
8,Kimi K2.6,2026-04-20,,,,,1040000000000.0,,Confident,,,Yes,"Kimi K2.6: From Code to Creation, From One to Many",https://www.kimi.com/ai-models/kimi-k2-6,2026-04-20,2026.0,after_cutoff,False,,missing,,missing,1040000000000.0,finite_scalar
9,Grok 4.3 Beta,2026-04-17,,,,,500000000000.0,"""Supplemental training has been added to 4.3. 

Grok 4.4 will be twice the size (1T) with training data through early April. Probably ready for release in early May. "" from Elon (https://x.com/elonmusk/status/2045590599206875216?s=20) implies 500B parameters, assumed to be total #. ",Likely,,,No,Grok Release Notes,"https://grok.com/release-notes#:~:text=Apr%2017%2C%202026-,Grok%204.3%20Beta,-Grok%204.3%20is",2026-04-17,2026.0,after_cutoff,False,,missing,,missing,500000000000.0,finite_scalar
10,Claude Opus 4.7,2026-04-16,,,,,,,Likely,,,No,Introducing Claude Opus 4.7,https://www.anthropic.com/news/claude-opus-4-7,2026-04-16,2026.0,after_cutoff,False,,missing,,missing,,missing
11,π0.7 (pi-0.7),2026-04-16,,,,,5260000000.0,"""nitialized from the Gemma3 4B-parameter VLM [106] [...] (including a 400M-parameter vision encoder), and a flow
matching action expert with 860M parameters. The model
has about 5B total parameters.""",Confident,,,,π0.7: a Steerable Generalist Robotic Foundation Model with Emergent Capabilities,https://arxiv.org/abs/2604.15483,2026-04-16,2026.0,after_cutoff,False,,missing,,missing,5260000000.0,finite_scalar
