indicator,meaning,raw_type,scalar_rule,transform,direction,normalization,valid_domain,unit_suspect_rule,missing_policy,outlier_policy
fineweb_edu,FineWeb 教育质量分数,single_list,"length=1, take the unique element",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
fluency_en,英文流畅概率,prob_index_1,"stable softmax, take class index 1",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
modernbert_cleanliness,ModernBERT 清洁度等级期望,ordinal_logits,"stable softmax, expected level / 5",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
modernbert_readability,ModernBERT 可读性等级期望,ordinal_logits,"stable softmax, expected level / 5",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
modernbert_reasoning,ModernBERT 推理性等级期望,ordinal_logits,"stable softmax, expected level / 5",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
modernbert_professionalism,ModernBERT 专业性等级期望,ordinal_logits,"stable softmax, expected level / 5",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
dsir_books,DSIR 书籍域信号,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
dsir_wiki,DSIR Wikipedia 域信号,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
dsir_math,DSIR 数学域信号,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
qurater,Qurater 列表均值,mean_list,mean of all finite list elements,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
ad_en,英文无广告概率,prob_index_1,"stable softmax, take class index 1",identity,positive,A1 clipped ECDF 0.5%-99.5%,finite,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_word_count,文档词数,single,finite scalar,log1p,central,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_num_sentences,文档句数,single,finite scalar,log1p,central,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_unigram_entropy,词一元熵,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite and >=0,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_frac_unique_words,唯一词比例/分数,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_frac_no_alph_words,非字母词比例/分数,single,finite scalar,identity,negative,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_frac_chars_top_2gram,高频二元字符比例/分数,single,finite scalar,identity,negative,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_frac_chars_top_3gram,高频三元字符比例/分数,single,finite scalar,identity,negative,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_lines_uppercase_letter_fraction,大写字母比例/分数,single,finite scalar,identity,negative,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_lines_ending_with_terminal_punctution_mark,句末终止标点比例,single,finite scalar,identity,positive,A1 clipped ECDF 0.5%-99.5%,finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_lines_numerical_chars_fraction,数字字符比例/分数,single,finite scalar,identity,central,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,flag if value < 0 or value > 100; do not auto-convert,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
rps_doc_mean_word_length,平均词长,single,finite scalar,identity,central,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,not applicable,leave norm blank and preserve missing flag,robust z-score > 3.5; retain value and flag; robust aggregation later
