task_key,task_role,versions_json,score_metric_keys_json,higher_is_better_values_json,models_with_score_key,models_with_numeric_score
leaderboard,group_summary,"[""1.0""]","[""acc,none"",""acc_norm,none"",""exact_match,none"",""inst_level_loose_acc,none"",""inst_level_strict_acc,none"",""prompt_level_loose_acc,none"",""prompt_level_strict_acc,none""]","[""true""]",14,14
leaderboard_arc_challenge,task_subtask,"[""1.0""]","[""acc,none"",""acc_norm,none""]","[""true""]",10,10
leaderboard_bbh,group_summary,[],"[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_boolean_expressions,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_causal_judgement,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_date_understanding,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_disambiguation_qa,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_formal_fallacies,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_geometric_shapes,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_hyperbaton,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_logical_deduction_five_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_logical_deduction_seven_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_logical_deduction_three_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_movie_recommendation,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_navigate,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_object_counting,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_penguins_in_a_table,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_reasoning_about_colored_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_ruin_names,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_salient_translation_error_detection,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_snarks,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_sports_understanding,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_temporal_sequences,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_tracking_shuffled_objects_five_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_tracking_shuffled_objects_seven_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_tracking_shuffled_objects_three_objects,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_bbh_web_of_lies,task_subtask,"[""0.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_gpqa,group_summary,[],"[""acc_norm,none""]","[""true""]",14,14
leaderboard_gpqa_diamond,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_gpqa_extended,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_gpqa_main,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_ifeval,task_subtask,"[""2.0""]","[""inst_level_loose_acc,none"",""inst_level_strict_acc,none"",""prompt_level_loose_acc,none"",""prompt_level_strict_acc,none""]","[""true""]",14,14
leaderboard_math_algebra_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_counting_and_prob_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_geometry_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_hard,group_summary,[],"[""exact_match,none""]","[""true""]",14,14
leaderboard_math_intermediate_algebra_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_num_theory_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_prealgebra_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_math_precalculus_hard,task_subtask,"[""1.0"",""2.0"",""3.0""]","[""exact_match,none""]","[""true""]",14,14
leaderboard_mmlu_pro,task_subtask,"[""0.1""]","[""acc,none""]","[""true""]",14,14
leaderboard_musr,group_summary,[],"[""acc_norm,none""]","[""true""]",14,14
leaderboard_musr_murder_mysteries,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_musr_object_placements,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
leaderboard_musr_team_allocation,task_subtask,"[""1.0""]","[""acc_norm,none""]","[""true""]",14,14
